name,tag_id
unknown,6a28dd71-240c-445c-9814-67a9884dbe61
Focused,b46a4d88-10a1-4eeb-a150-4ba57c75edc1
tangible,f4f0f566-415e-4064-adb5-debd9c0326e5
orchestration,3103b55b-1ffe-49d2-b617-77554ad909fc
De-engineered,b8df47e8-1fcf-4481-90a4-80fba1bd92a4
coherent,7e34f917-fb30-46cf-987b-5c70e3d9ebbd
workforce,9bad1477-b6d9-46a2-a147-0f256a1d081d
Balanced,8ed3524b-db0a-4a47-8942-f6970073ef5a
interactive,2dbe8f4a-f876-49f5-9d1c-6b863e9b4f3d
monitoring,859992a5-9eba-4509-89e8-0c747300b542
Cross-group,78237cd2-0139-431a-8208-1422e93c337e
high-level,1b0d026d-1920-44db-91e4-6f2aa21e0b70
Inverse,420fb602-b312-4c8c-8a7c-aed17d31f09c
composite,62359036-5db8-4779-b68b-30baeaee6a31
Seamless,a9b7153e-8f2a-42ea-80d9-b78ec31ff07b
24,db1eb864-a64f-4275-b81e-4127db35d662
hour,72d0c998-7d80-4eeb-a661-c8c3ea3322ac
system,d2fe1f6d-2a92-4d36-b0a4-1bc57b015033
engine,fa14776f-45ab-4629-ae07-67fafeb79a31
Innovative,f0596641-60f1-4d5b-80cb-39dd68f73fd2
task-force,e6841635-710a-4f99-a65f-f1815552cb4b
Exclusive,eb26695f-41d2-411a-8a68-82a079fb01f3
regional,660f48a0-f0b4-4b50-a497-62db1868d454
hierarchy,3e486214-9a26-4cde-adf3-1190b96bb079
needs-based,cc656259-58d7-4299-b3c9-d3a5348328a8
open,981d2361-9055-49bd-bbd9-f7bb4774a1ea
Optional,3d33bfc3-b6a6-4c4d-b7e9-f1f16ca5d5f9
motivating,283449ab-2be2-4c19-9814-0629aab2fbe3
superstructure,81fc80d3-3e0a-4890-96f9-d6cf4c0d082f
Phased,317ba2e8-fb69-465b-96d3-7edfcb11b420
responsive,a30890ec-e82d-47e8-8c73-a9ff97414e2c
solution,7a5d66d9-108d-48ea-9382-10cfd1f7fbf8
Multi-layered,c68c5d99-7e9d-4924-a75e-5bb4c271e932
policy,2b17af89-5b7e-4f72-a242-6fbb5cb6b275
Intuitive,3a7993c8-09e4-419a-a8e3-290d80b07362
client-server,88997423-b293-4666-94df-2c440f33d76e
encryption,7984d49a-a2c9-41da-9e94-dd536346335c
Expanded,2581ddc6-ed85-49d4-95f5-5a8624b96c9b
zero,477627ec-3be7-4a57-b658-6b7181b32b7d
tolerance,09d7f792-b2b1-4fbf-8393-7392c7afcc00
focus,5e4c10a3-959a-4cd6-9d35-c1e6b4bfa92c
group,89b38197-3985-4d1d-8204-d6d12890c51b
Re-contextualized,6cb66df6-ac9e-4c7c-887e-209799635df1
impactful,9980123e-ad55-43f5-b1c5-f640d2643abd
matrices,9e17715d-5843-4024-be80-89af276c3a93
Open-source,74122425-31a4-4871-9970-8d7284627465
optimizing,7d823d49-0832-4925-8f48-7890b9b0cbb1
database,c6f2bf7a-3723-417d-8b75-5ff9c9e2337c
Assimilated,af478283-58b2-444e-ae25-bec00fc6ba26
solution-oriented,a4185638-0ac0-41e2-ab55-8017ec2dd2e3
time-frame,d3f4328f-8a5f-4b98-997e-77ac4edbc13b
Reverse-engineered,1dc6720d-a1da-4bf4-86c1-51783c03e9ad
reciprocal,31bbfb58-3817-40fe-84a4-44bac28d63d4
benchmark,d844030e-9422-44d6-99a6-fe931d14dcfb
Versatile,acfd95d6-6d83-4173-ba00-dda78d39d19b
encompassing,1c947ed7-3009-4e80-995e-a64a55bf3c74
Graphical,b81ccf10-4ee3-4350-b5c6-0b9af7484a30
User,01008512-f146-4947-bf5e-9098decf2e3e
Interface,88c608e2-e78c-43bb-99cd-465bd3cc08be
Object-based,90c8e22a-4383-4fb3-80ef-79ad4694d338
non-volatile,5985807a-1398-4e44-bbf6-d0fe57f4745c
mission-critical,ee50f449-b30b-41d8-b892-ea337ee081b5
functionalities,60752431-f7a1-4fbe-a808-140d278bc5cd
Down-sized,f3cf807e-0e7a-48c2-83bc-1eb9080a5907
demand-driven,92eb5eef-37c8-482f-9643-70861a51daff
holistic,8d0fab28-d66b-44ee-8535-31bb31250193
leverage,0dd22b37-a4d7-45f6-bd34-b39b6361f057
Pre-emptive,2b412adb-273e-4636-8c45-af2a0aaf1526
systematic,ff1c1643-d322-462f-b065-71d5a0055f36
definition,ecf8d985-d044-4629-9589-04b958bd2e6f
Horizontal,4e11a3b3-5eb1-489f-84d8-c550ac6373cb
uniform,0e5ce2db-3141-4caa-a983-a6d0fa311c46
architecture,8e4bb9c8-d61c-4cf3-b8ec-d0dd8d6c5e9f
Progressive,4018ee6e-289b-4744-9ab0-896d2d62cf57
system-worthy,06b0adc9-5572-4e29-a1ec-1c8f9b44bf0c
complexity,4c848f85-9505-404e-8c1b-47608ba1e342
Proactive,42c95391-7449-4b76-af93-0dcef360e8e2
homogeneous,343976f4-4685-4cb5-a711-63904d6ec387
approach,2f61c62a-299c-4d1a-a562-32c43b2d3d4c
foreground,97d8a94d-0234-45b2-b1ea-181fced21f95
User-friendly,84114812-e4dd-402c-8871-7dd4c8ac2c04
human-resource,eeedf7e8-a24a-49ad-8a3e-10b5847e4ac4
attitude-oriented,07d9ab1d-d9a3-44f1-ba1f-357b2f38cf97
hardware,feac5a1f-fa2a-489a-abf2-9e9f83ab61f5
Synergistic,53a9296c-edad-43be-b555-d5bd7973d04e
contingency,17bc9fae-9a26-4cff-849a-873a081f1850
Sharable,ef782f6d-b281-4f8c-9616-dfa9e17a13f5
radical,2466c3a2-884b-43e5-b540-437cdb70dccf
hub,de9cb547-e083-420d-8c14-f7acd54f0a59
Operative,db20ab88-9f6c-485e-813c-100bc867f220
modular,c0c6da5e-1f06-49d8-b6b3-13bc5d5fb68a
middleware,d8e5c555-7f28-4c4b-89c6-b4dee5fef7a3
Organized,2586242c-d046-43b6-9815-118a1c9d90c1
array,b2e9c125-f840-4877-8f8c-b01bd1cff661
Distributed,791613ab-08b2-4a26-88bd-34b21b42cf1f
optimal,61402f83-c78f-4dda-9d50-1cd6f29d187a
success,91a9a525-5231-408c-b9ef-a2f116b26e68
Multi-lateral,8ef5c10b-4521-43e0-b224-bdcbedfc0682
directional,9fcdce45-3e2e-430f-888b-59bc9c3142b0
Triple-buffered,b9673ad1-4bb8-41f8-9f3f-6891201b64f8
executive,de6d91c8-2f7e-4e4c-baa4-7e1c381cf9b2
protocol,82bd8ce3-b676-4669-8bc0-dbc7307713c9
Fundamental,73817812-44d5-40cd-ba86-671401248fe5
artificial,f6f6a23f-4d4b-4888-b43e-ce07af62ae8a
intelligence,5a48d6c2-2090-417f-a5a8-ca031a7f7b4a
analyzer,398972cc-78e6-41a0-8e32-34de38a8a9f0
Open-architected,4dd57692-9895-4948-bc1f-356be0d8dc14
disintermediate,675b6433-11b3-45ca-90b7-d1663608628e
local,53734599-8c1c-4b0e-a575-df6cb9814a0e
area,3c0aa705-88d8-4658-98ff-206a68436498
network,89c83cc8-f5ac-4fe6-a641-066ed539d4e2
Robust,f6c3777d-d8f7-4a05-bdf7-1be2793794ef
eco-centric,f523fe19-9f0f-4833-9a0d-f1fff6870bd6
knowledge,8d75a19c-9a86-4641-b9ad-4f5d83b0f088
base,f964c0d1-8933-45a2-a275-7497cd0431f7
Monitored,d50578d8-8056-48bf-b3b3-87f8f236877d
Upgradable,2efcc61f-24ce-4157-9719-b20c9496091f
next,0ff98f49-2ca8-418f-ad8f-010ee0861caa
generation,bef80da3-6ce3-467a-ac19-fe4065a2f40a
Graphic,83dd020a-871e-4c8c-b977-c4a8c032a808
Mandatory,3beb76c3-f141-4f23-960d-fd88987a6dc4
dedicated,84d8166a-cdc3-42ea-b8c1-384fc0167054
ability,5aedd8cf-6ac2-436c-b934-d28e63e03433
upward-trending,9c48cfa3-4f41-45ca-af35-e68ac7a0edc9
extranet,3baa8079-67d6-4d09-8833-2bee2f11ba12
Optimized,e5e9f0d9-3d5b-4e5d-85c9-1e672c3f6f6e
project,4333b460-0b10-460a-bc14-8ddd69b57d4d
Adaptive,9613310d-72a2-4a5e-8a73-e9533681cfc8
cohesive,d2704a8c-1dfd-457d-be75-9fe79829dc3b
framework,1328512d-7944-43d1-9634-b47836ab35c5
Multi-tiered,7bb677a9-5696-4aa3-b522-50772f2ce73e
user-facing,d4dc5aaa-99a0-433d-9fd9-7d8a92be109e
strategy,ebda153b-89cf-4a84-aebd-e6eaf790e171
Streamlined,4aa296e7-cf30-4600-8a47-87db165bd49d
administration,2a5213cb-78f7-43c8-84f4-415755c3944b
migration,86d65bc3-2075-4c8f-8a58-cdf549d1f449
Extended,94069228-6ddc-480c-ae2d-0e8cfa251250
implementation,30621c40-8a90-488a-aa09-8f7451a30385
object-oriented,a569e1ae-832f-425e-b980-aebd3437b397
intranet,6a46c747-5ba0-48a6-94d2-3bf2089c0b78
static,749a9dd9-fc88-4fe4-9b63-6e4453193046
Ergonomic,dab3c60b-dc54-40c6-ae2e-052256ddb83a
algorithm,fb006f75-14ab-4945-b21b-65e8767c909b
Business-focused,6fe9d0b4-e644-4ddf-a4a9-0c752f99d70a
tertiary,62fa6770-9b19-4ce1-a172-04d85d175c45
help-desk,3043e7c3-3a76-4bc6-995d-4b7ba94ac9b0
Future-proofed,19c463a3-0e4c-4dde-9f0e-b4d399d6d0a4
context-sensitive,4536620b-440d-4cfe-a27a-dc7889989b7a
Ameliorated,b537fbc7-3359-43bb-b9a3-99da31d4d5a5
client-driven,70c8766d-55d9-4f54-9d4e-a71f0584dec4
alliance,478dc809-5dde-4a78-b889-fa68a01eabd8
Team-oriented,8fd1c8ca-1200-43f5-8aa6-e95cce23e64a
capability,3bea43ba-af51-4477-8ab6-810a19fcade9
Stand-alone,4fbc315f-977d-40ae-8fa0-002380b353eb
utilisation,04750e3c-1ca2-49c2-a4e5-0841a6696c15
Synchronised,ded0fc25-a4d9-49ee-a3ae-eee9e891955e
value-added,29443c77-3de2-4192-a6d1-0adb7bf21a58
Profound,66d759b5-7ffd-4efa-a690-6e7b4fb59d2d
content-based,7b466806-8c46-4d34-ab16-9489f0811b9b
collaboration,5c224af7-2d1c-4167-af40-34fc68df8c90
Self-enabling,44240d55-febb-4751-970c-96ca8159ac45
Grass-roots,8a6feb75-c2e8-433e-84a9-3a68c2bc9cad
interface,f11ae586-63f5-409b-bf1e-5f4627c47d26
Customizable,39433602-e993-4bb9-b63a-00199654acc4
transitional,fae12fd6-6e09-4919-9e38-996764503085
emulation,0742c766-46d3-4165-b600-73c756d0a077
adapter,e3a1dfb0-3624-41b9-8dc8-b60f07e62d51
background,322c9011-280f-4fe1-a232-201a6d492356
structure,ad2edfab-6ecb-4728-ac28-7885236235b1
scalable,9ee1f8c0-008e-4eaa-b9be-0d402fa0c573
flexibility,89096af0-5b37-44c2-9802-9bf3f3e4164e
encoding,5302476b-2a90-47a0-96d4-64f9692d3ac4
full-range,8f84b4e0-16ab-4ab9-b270-9c771055d576
Visionary,64a4e2dd-6573-4412-9055-6ab841a34877
Quality-focused,854f63d7-566c-438a-b866-d143a59db94a
3rd,516d6db6-7c91-4c4f-9113-6c9d6b4bf03d
application,aa17e0e9-38e8-491c-a9b6-85271cfaaadb
mobile,537804d0-2f5a-4044-aa60-6d02b600f7ba
data-warehouse,167f5530-c1e6-4dd9-b858-c7b9c706eb33
logistical,cc281966-60ea-4644-bd85-bd9d085e8e99
bi-directional,a54391b5-95f4-4cde-b0f8-5dd41715a6a1
matrix,8ae4119e-5fb9-431d-949a-6f55c42764d7
Reduced,ac4b0dfc-3a9d-4ad4-a13f-6413eddb0a53
heuristic,197e7393-0801-4360-977b-2579fe24510c
website,ac725033-c09e-48f9-b378-4aa0cd7a853f
Polarised,7ac0224e-2d65-4380-811d-60f8a2753cab
multi-state,6a1f0f0c-3ce6-4832-9e9f-bb4ae188ce14
Persistent,8b4b40b4-0d55-491d-84de-c6ae6c9d367f
Enhanced,77022f27-3f5d-4e6a-9c5b-898cf5f85382
installation,6549d9c2-f2b9-491a-bfa8-adf05c43f078
Virtual,1eacd7de-5063-4de3-b24e-e8dd9c66e278
portal,3e9f097b-ae70-46e9-85b1-ca1bdef69736
Front-line,0093bffd-a7b9-45bc-92b9-e1c31b664cf0
initiative,b8062e1f-7c19-425d-86c9-a694a5762237
Implemented,6ea44919-8d96-4d2c-9f08-3c7dd99136bc
process,05865528-e8fa-4a51-aa02-c15eca3de4ef
improvement,be1e8fb5-cf16-406e-a506-07bfdf241663
secondary,f00ee251-b6ca-483d-ab86-41c78a087cb1
firmware,f5328aa7-c1e9-495c-9d0f-432e7ae76f5c
Integrated,8d3736a3-f408-4a39-afcd-f287ea0b212b
hybrid,feeb4811-fc9b-4e95-baff-1945b9d9361e
intermediate,5a43ef33-c4d8-4359-b37f-755fa4540200
product,ceb7683e-8617-4333-a3fc-a739f77c0cd8
Fully-configurable,9fc715d5-b0a4-4cac-a40b-10cbd9471984
infrastructure,5425d9dc-ca1b-4fd4-b89f-8defebb868fa
Synergized,0bb0ca7a-ab70-4ec1-b63a-da697a365e60
maximized,3d2e4202-bdd2-4f59-b4fd-2cc7d992947b
neutral,81c050e1-b72c-497a-bff9-09f5e3c9652b
moderator,1df5454d-8dfe-4d66-8e7f-3a719706886d
5th,c7d7d916-d6f8-44c2-bf8c-89af54238e54
even-keeled,a303cf35-806d-4cf2-b18f-39a4488e5ebc
Enterprise-wide,4e037469-72a4-43f7-a38d-550ea58ef744
internet,b18477a8-32d0-4abf-abc8-a6ff7c9bf8d3
Devolved,e71f764f-865c-4692-95d1-9bf5b4716d3e
real-time,5cdb2015-5ecc-4c80-9b38-b5093ca67b8d
systemic,0cc77251-0b31-46bb-82ea-c712e3364bd0
model,44b9f41f-6745-4ff3-8745-59713e039189
Multi-channelled,37971e17-4940-4647-81b5-9e8a157e9afb
concept,224f5d8e-2262-4309-bbaf-958690351ea7
4th,7cc06f74-3431-4a92-914c-a1526f161ab7
24/7,ccd02176-a40d-433f-bd4a-b47c0155953a
software,57e30230-dc3b-4bc9-81ae-61f16816b0de
Digitized,233b4f44-a5c0-45db-b920-91aeab09f88d
clear-thinking,97f7cbba-963d-49d3-bcfd-868c112a708d
Centralized,29b17c59-230a-428d-a89d-e1a5daa70ae4
Persevering,1dff5599-f96d-4c32-a6c1-5ac91a643a45
dynamic,b85a4e19-c7da-43ec-8387-4aba3b825dd7
incremental,6f67d9c3-c66f-4a05-a528-458c36562b6a
Managed,f702f9d6-bc16-4169-b77e-024f7c49a86e
Organic,6edbaa04-9764-4435-929e-0c34f2e70c62
contextually-based,9b53c536-2ce4-4fbc-960d-196d12fc93c0
explicit,a764cbd1-d04f-4bbc-8c6d-005615e5c7d6
Face,c41e2e28-b57a-49cc-8fc5-bc621b91fe30
to,43cb5715-70fa-4523-9ad6-634bb7fb08e4
face,eb7f0d8f-9550-469c-b3c4-758a92b300df
grid-enabled,3d22c1c9-bcd7-42d3-b459-5ae8e3da000f
Cross-platform,93e61861-81e0-44b9-a5af-46011c323acf
bandwidth-monitored,e6a5a59d-7754-46aa-a4f4-8ac823fbef15
productivity,901762ce-2d02-46d0-8394-32ca75bf7b7a
intangible,cfafa9bd-bb00-4cd2-9ccd-fd075138a84e
throughput,de19a8e6-ae3c-4438-917a-3deed59346b5
multimedia,20228f63-f087-45da-bed3-95d30cfca6b0
Customer-focused,c5bee5d5-6dff-416d-ba65-b8acaf68c828
6th,5425b30b-2535-4aed-96c6-30408d120989
Advanced,62a7166b-6e13-420d-8f13-b3367caf5ae1
paradigm,14d7d79c-741f-48b3-b37f-3660c6aa4a75
well-modulated,77abdb34-1464-40d9-9c00-14ecd60fbfb5
discrete,04588055-d1ee-47f1-a4b9-e58fa31b41fd
support,1c4b54b5-7e8d-4410-b306-2d7ba5ffb046
fresh-thinking,59fe8dc5-1e0c-4ea8-b3a2-5696219a133b
projection,ba24f827-99f9-47fd-82ef-bf8752a31c9a
Public-key,4229cd77-1cfb-45e4-844a-c8582132f069
Total,3e275461-e60d-4f0b-96b0-ad6a74361d72
global,e567ef16-a89b-4861-9b22-1c20f7b5b4cf
Secured,1d57faa5-9c6c-4af8-8943-e1174466b4c7
Right-sized,4d2e003b-c55a-4d58-8f49-21a1868d3e76
neural-net,f58bb362-51c9-48dc-ac25-89e38c8fa0e6
methodology,d73f1e47-be99-421f-a8de-98e17dbaa6c4
didactic,7d55335f-556b-435b-88b6-02a121e68ab9
attitude,f8573aca-0acf-4220-a513-a70a6cc26999
Reactive,b35f8df4-d404-4dc5-a56d-1f73bc9108f7
function,daeeeb02-30f3-48f6-a230-121e5d776f8c
asymmetric,dd44ee0c-bf5f-4db1-aec0-2aa793392234
Up-sized,1e66a557-b784-448b-9c1c-adc424811848
Decentralized,c88b7291-2c8e-432a-b6e1-b20eab159d23
secured,dc958929-68e4-4c44-bf9c-b00e352241ad
line,6eb925d5-07f1-49c4-ad93-ab0914e2f108
Programmable,8b1e795b-38ba-482d-81f8-d5770cd37c9d
defect,be3a8589-811e-4917-a059-b752bc978b4f
conglomeration,cc9a3a1f-8371-4ac8-ae04-bee418350c9e
user,6c765aac-2d41-4409-9211-2aad586a75ac
Profit-focused,e45af2d1-2c10-4f17-8d45-30f8e801a0b9
Automated,9ff93d98-5422-4d51-a770-1a3008998f5a
Networked,e9661835-f431-4c43-bfa3-3a7307401ddb
archive,99a311bf-8ee2-40a2-b039-687359b928d7
toolset,91c503b8-3a71-4022-b1c3-ff6ac2a74349
actuating,91ff096b-a368-430f-bfe5-67f3777aac3e
circuit,6080b100-3f8d-4dfa-bd3e-cdbbabe5bb86
Cloned,380899bc-dc76-4869-b9e2-834edfc3695e
User-centric,458ff4df-3d87-4a9a-bfc9-1248d623fe0a
empowering,20c8feca-3e0f-400d-9dd3-9e966254e554
methodical,beed4c6f-5d66-40a1-8c99-69d574c5f0e3
asynchronous,ad430125-0533-45d9-8815-9bbca1ec797d
instruction,09fed8dc-d366-4ded-81f3-8f17189340e0
set,775ac848-26cf-4b8b-a640-0ddc19a5dcfb
exuding,d1d8de2a-7285-4708-9b48-cc6eb2568c2b
service-desk,cc520662-e40a-4e0d-8d3c-b69e7928631e
standardization,c70a0afb-e04b-4a19-85ba-a177134d7d1c
access,8c4ed92a-364b-4666-9c75-faa6e0cb03db
Universal,68b2eb16-4223-4868-b632-e951c93930f2
analyzing,a08156c0-b381-497e-bf34-213ed1f890b9
frame,f62f0f23-664a-4d40-abe4-8e1cf23cb410
bifurcated,5ea8f47c-a83f-4463-b8e6-2232d0510941
pricing,55f6020f-2c2e-4c92-8139-b79433bd5c26
info-mediaries,3c2f82d0-181d-4eb4-930f-543d98080799
web-enabled,77db9674-4684-4056-bf82-eb31ccfdb28e
challenge,52b8033b-c936-44cf-abcd-090c17636677
groupware,07f9da33-daed-4e74-9674-ce814e75a379
bottom-line,6738abed-8685-4ea4-b8a4-7dcfa94a4227
national,f9ab7630-7359-489f-aec5-0eac5b4a61e3
Compatible,b094e0cd-1e78-4992-a5cb-ff2186d56b9c
forecast,dc5ffe57-bbcc-4b56-b9ba-911f829018da
Switchable,f5b799eb-7710-4f5d-adf2-080dc8b35df1
capacity,7d8470ee-a783-4d21-a3c0-72a7409f4df4
Re-engineered,0b7bb009-7e2a-42a5-9cf3-0f9d42af77ec
synergy,4037438c-abd2-49e6-8534-8fb6eeee0010
Realigned,018746db-0f87-473a-af22-781d7f16e9b7
parallelism,3c9bd4a5-77ab-4ad1-b526-fc8d74afbc62
Diverse,3851e047-6bac-4af3-b948-02fa43b4879c
budgetary,8a4b61e6-00e4-404e-ad47-5e5ab1f56e93
management,ea9fe7e9-e365-438a-9f9d-572442a52ea3
Configurable,d3d9c3aa-1187-414f-99dc-3af54df45127
stable,0a864e78-edb5-42cb-aded-288712ff4ad4
Vision-oriented,34cea2d8-e0e3-4e72-abfa-0463642ef37b
multi-tasking,68cb82d5-6734-4288-aad9-4d5c39968714
leading,9ef7ae19-a75b-49e5-9d2b-b52f8ea3c672
edge,073b92e8-ec04-4a28-9f19-2f0476dcb951
moratorium,5eb08dfe-def7-42ad-b006-1ca1c85f4cae
Function-based,6c7e4ed1-0b85-46b5-b264-e18d2fea6796
core,9de24c4b-2d0f-4d32-bd58-101cc56a972e
fault-tolerant,0ac489bb-5ca6-456b-8313-1c25c2c4d05f
customer,c36637a3-6d25-4ed2-a1a5-e51abff6217c
loyalty,54b3163c-89d5-4323-b49e-0ba29858b006
